POST-HOC DISCOVERY ANALYSIS — NOT A VALIDATED FILTER

CORE
  target   pair direction  trades   days  gross_mean  net_0p5_mean  gross_r_mean  target_rate  stop_rate  eod_rate  daily_gross_mean  daily_net_0p5_mean
opposite GBPUSD     short                Q3   902.0 603.0   -0.048244     -0.548244     -0.001544     0.128603   0.675166  0.196231         -0.072166           -0.820093
opposite GBPUSD     short                Q4   904.0 582.0    0.411827     -0.088173      0.024219     0.137168   0.638274  0.224558          0.639676           -0.136957
opposite GBPUSD     short                Q5   991.0 487.0   -1.694338     -2.194338     -0.079017     0.106963   0.611504  0.281534         -3.447822           -4.465276

BY ENTRY EXTENSION / ATR (MIDPOINT)
  target   pair direction entry_extension_atr_q  trades  days  gross_mean  net_0p5_mean  gross_r_mean  target_rate  stop_rate  eod_rate  daily_gross_mean  daily_net_0p5_mean
midpoint EURUSD      long                    Q1   941.0 839.0    0.174967     -0.325033      0.025157     0.388948   0.578108  0.032944          0.196238           -0.364549
midpoint EURUSD      long                    Q2   994.0 885.0    0.619353      0.119353      0.121987     0.314889   0.629779  0.055332          0.695635            0.134053
midpoint EURUSD      long                    Q3   934.0 794.0   -1.504222     -2.004222     -0.074406     0.202355   0.699143  0.098501         -1.769450           -2.357611
midpoint EURUSD      long                    Q4   970.0 665.0   -0.673341     -1.173341     -0.060691     0.136082   0.704124  0.159794         -0.982166           -1.711490
